2023-03-07T03:16:31.341Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:31.541Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:31.639Z [ 0.070106, 55.8555 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:31.746Z [ 0.070106, 55.8555 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:31.842Z [ 0.070106, 55.8555 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:32.168Z [ 0.070106, 55.8555 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:32.769Z [ 0.070106, 55.8555 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:32.770Z [ 0.070106, 42.5477 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:32.770Z [ 0.070106, 43.2607 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:32.842Z [ 0.070106, 44.6867 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:32.942Z [ 0.070106, 42.5477 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:33.042Z [ 0.070106, 42.5477 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:33.140Z [ 0.070106, 43.2607 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:33.242Z [ 0.070106, 42.5477 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:33.691Z [ 0.070106, 46.8101 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:33.692Z [ 0.070106, 46.8101 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:33.740Z [ 0.070106, 47.5231 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:33.843Z [ 0.070106, 53.5869 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:33.941Z [ 0.070106, 55.0129 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:34.046Z [ 0.070106, 44.6867 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:34.146Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
2023-03-07T03:16:34.245Z [ 0.070106, 39.4593 ] [ 0.070105, 0.8689 ]
